id_venda;data_venda;hora_venda;cliente_id;genero_cliente;faixa_etaria;produto_id;produto;genero_produto;categoria;tamanho;cor;quantidade;preco_unitario;desconto_pct;valor_desconto;valor_bruto;valor_liquido;custo_unitario;custo_total;margem_bruta;status_pedido;campanha;canal;loja_id;loja_nome;cidade;uf;vendedor_id;forma_pagamento
CL-000026;2018-11-10;19:23:55;CLI-02573;M;18-24;XFIT-JAQ-006;Jaqueta WindFit;Unissex;Jaquetas;G;Branco;2;219.90;0.10;43.98;439.80;395.82;98.40;196.80;199.02;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;debito
CL-000027;2018-11-10;14:36:08;CLI-01174;F;18-24;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;GG;Preto;2;99.90;0.00;0.00;199.80;199.80;39.20;78.40;121.40;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;credito
CL-000028;2018-11-12;09:06:29;CLI-00551;F;55+;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;P;Branco;1;139.90;0.25;34.98;139.90;104.93;57.80;57.80;47.13;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;dinheiro
CL-000029;2018-11-12;15:11:08;CLI-02486;F;25-34;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;G;Rosa;1;64.90;0.00;0.00;64.90;64.90;24.90;24.90;40.00;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;dinheiro
CL-000030;2018-11-12;14:59:45;CLI-00494;M;25-34;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;G;Grafite;1;99.90;0.00;0.00;99.90;99.90;39.20;39.20;60.70;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;pix
CL-000031;2018-11-12;13:19:41;CLI-00099;M;55+;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;PP;Grafite;1;99.90;0.00;0.00;99.90;99.90;39.20;39.20;60.70;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;dinheiro
CL-000032;2018-11-12;19:17:18;CLI-00901;F;55+;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;GG;Branco;1;139.90;0.00;0.00;139.90;139.90;57.80;57.80;82.10;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;pix
CL-000033;2018-11-13;18:55:12;CLI-01374;F;18-24;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;GG;Grafite;1;139.90;0.15;20.98;139.90;118.92;57.80;57.80;61.12;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;credito
CL-000034;2018-11-13;13:50:05;CLI-01466;M;18-24;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;G;Verde Oliva;1;149.90;0.00;0.00;149.90;149.90;63.40;63.40;86.50;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;pix
CL-000035;2018-11-13;16:37:26;CLI-02782;F;25-34;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;M;Preto;2;99.90;0.00;0.00;199.80;199.80;39.20;78.40;121.40;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;pix
CL-000036;2018-11-14;18:47:18;CLI-01606;M;35-44;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;M;Preto;1;79.90;0.05;4.00;79.90;75.91;31.70;31.70;44.20;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;debito
CL-000037;2018-11-14;08:09:45;CLI-01591;F;25-34;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;GG;Vinho;1;99.90;0.00;0.00;99.90;99.90;39.20;39.20;60.70;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;debito
CL-000038;2018-11-14;13:28:17;CLI-00504;M;45-54;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;PP;Vinho;1;109.90;0.10;10.99;109.90;98.91;45.10;45.10;53.81;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;credito
CL-000039;2018-11-15;15:42:33;CLI-01597;F;25-34;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;P;Branco;1;79.90;0.15;11.99;79.90;67.92;31.70;31.70;36.22;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;pix
CL-000040;2018-11-16;11:30:29;CLI-00603;F;35-44;XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;M;Preto;1;159.90;0.15;23.98;159.90;135.92;70.20;70.20;65.72;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;credito
CL-000041;2018-11-16;14:14:55;CLI-02014;M;35-44;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;PP;Branco;2;99.90;0.15;29.97;199.80;169.83;39.20;78.40;91.43;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;credito
CL-000042;2018-11-16;14:33:12;CLI-00842;F;55+;XFIT-MAC-009;Macacao Studio;Feminino;Macacoes;GG;Grafite;1;189.90;0.00;0.00;189.90;0.00;82.30;82.30;0.00;cancelada;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-04;dinheiro
CL-000043;2018-11-16;17:25:27;CLI-01878;F;18-24;XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;GG;Grafite;1;159.90;0.00;0.00;159.90;159.90;70.20;70.20;89.70;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;dinheiro
CL-000044;2018-11-17;15:47:33;CLI-01229;F;25-34;XFIT-JAQ-006;Jaqueta WindFit;Unissex;Jaquetas;PP;Verde Oliva;2;219.90;0.00;0.00;439.80;439.80;98.40;196.80;243.00;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-04;dinheiro
CL-000045;2018-11-17;19:13:49;CLI-00702;M;25-34;XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;P;Branco;1;159.90;0.00;0.00;159.90;159.90;70.20;70.20;89.70;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;debito
CL-000046;2018-11-17;10:08:05;CLI-02645;F;25-34;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;G;Grafite;1;64.90;0.25;16.23;64.90;0.00;24.90;24.90;0.00;cancelada;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;pix
CL-000047;2018-11-17;13:03:56;CLI-01134;F;45-54;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;G;Grafite;1;139.90;0.15;20.98;139.90;118.92;57.80;57.80;61.12;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;debito
CL-000048;2018-11-17;10:27:22;CLI-02646;F;25-34;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;M;Grafite;2;64.90;0.05;6.49;129.80;123.31;24.90;49.80;73.51;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;credito
CL-000049;2018-11-17;20:15:41;CLI-02186;F;35-44;XFIT-REG-005;Regata Essential;Unissex;Regatas;G;Vinho;1;69.90;0.00;0.00;69.90;69.90;27.60;27.60;42.30;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;pix
CL-000050;2018-11-19;12:47:21;CLI-00828;M;18-24;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;PP;Branco;1;29.90;0.05;1.50;29.90;28.40;9.80;9.80;18.60;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;pix
CL-000051;2018-11-19;08:02:51;CLI-02640;F;25-34;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;PP;Branco;2;64.90;0.05;6.49;129.80;123.31;24.90;49.80;73.51;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;credito
CL-000052;2018-11-19;13:40:07;CLI-00105;F;35-44;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;GG;Vinho;1;139.90;0.00;0.00;139.90;139.90;57.80;57.80;82.10;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;credito
CL-000053;2018-11-19;14:53:30;CLI-01433;M;25-34;XFIT-REG-005;Regata Essential;Unissex;Regatas;P;Grafite;2;69.90;0.00;0.00;139.80;139.80;27.60;55.20;84.60;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;credito
CL-000054;2018-11-20;12:49:21;CLI-02112;M;35-44;XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;P;Branco;1;159.90;0.05;8.00;159.90;151.91;70.20;70.20;81.70;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;pix
CL-000055;2018-11-20;16:16:41;CLI-02706;F;25-34;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;P;Verde Oliva;1;79.90;0.05;4.00;79.90;75.91;31.70;31.70;44.20;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;debito
CL-000056;2018-11-20;09:17:57;CLI-01381;F;45-54;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;P;Azul Marinho;1;89.90;0.20;17.98;89.90;71.92;35.50;35.50;36.42;devolvida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;credito
CL-000057;2018-11-20;18:38:55;CLI-02126;F;35-44;XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;M;Branco;1;159.90;0.00;0.00;159.90;159.90;70.20;70.20;89.70;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;credito
CL-000058;2018-11-20;12:12:45;CLI-01389;F;25-34;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;PP;Grafite;1;79.90;0.10;7.99;79.90;71.91;31.70;31.70;40.21;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;credito
CL-000059;2018-11-20;08:57:58;CLI-00303;Nao informado;35-44;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;PP;Grafite;2;89.90;0.15;26.97;179.80;152.83;35.50;71.00;81.83;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;credito
CL-000060;2018-11-21;17:44:21;CLI-00519;F;45-54;XFIT-REG-005;Regata Essential;Unissex;Regatas;M;Azul Marinho;1;69.90;0.10;6.99;69.90;62.91;27.60;27.60;35.31;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;debito
CL-000061;2018-11-21;17:24:53;CLI-02593;F;45-54;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;M;Preto;1;149.90;0.00;0.00;149.90;149.90;63.40;63.40;86.50;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;credito
CL-000062;2018-11-21;11:03:41;CLI-01792;F;35-44;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;M;Vinho;1;79.90;0.00;0.00;79.90;79.90;31.70;31.70;48.20;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;credito
CL-000063;2018-11-22;15:14:39;CLI-02043;F;25-34;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;PP;Rosa;1;149.90;0.30;44.97;149.90;104.93;63.40;63.40;41.53;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;pix
CL-000064;2018-11-22;11:31:05;CLI-00046;F;18-24;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;G;Vinho;1;64.90;0.00;0.00;64.90;64.90;24.90;24.90;40.00;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;credito
CL-000065;2018-11-22;17:54:28;CLI-02527;M;35-44;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;GG;Grafite;1;149.90;0.15;22.48;149.90;127.42;63.40;63.40;64.02;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;credito
CL-000066;2018-11-23;20:27:31;CLI-00614;M;35-44;XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;PP;Verde Oliva;1;159.90;0.15;23.98;159.90;135.92;70.20;70.20;65.72;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-03;dinheiro
CL-000067;2018-11-23;22:13:26;CLI-00104;M;25-34;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;G;Azul Marinho;1;64.90;0.05;3.25;64.90;61.66;24.90;24.90;36.76;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;pix
CL-000068;2018-11-23;10:38:32;CLI-01258;M;35-44;XFIT-JAQ-006;Jaqueta WindFit;Unissex;Jaquetas;M;Azul Marinho;1;219.90;0.00;0.00;219.90;219.90;98.40;98.40;121.50;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;pix
CL-000069;2018-11-23;16:34:54;CLI-02299;F;35-44;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;GG;Verde Oliva;1;99.90;0.10;9.99;99.90;89.91;39.20;39.20;50.71;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;dinheiro
CL-000070;2018-11-24;16:30:41;CLI-01768;M;55+;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;PP;Branco;1;79.90;0.05;4.00;79.90;75.91;31.70;31.70;44.20;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-02;dinheiro
CL-000071;2018-11-24;14:45:55;CLI-01364;M;25-34;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;GG;Verde Oliva;1;149.90;0.25;37.48;149.90;112.43;63.40;63.40;49.03;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-04;dinheiro
CL-000072;2018-11-24;16:58:38;CLI-00907;M;45-54;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;G;Verde Oliva;1;109.90;0.05;5.50;109.90;104.41;45.10;45.10;59.30;concluida;sem_campanha;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-01;debito
CL-000073;2018-11-24;16:01:33;CLI-00491;F;25-34;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;M;Vinho;3;79.90;0.10;23.97;239.70;215.73;31.70;95.10;120.63;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-05;credito
CL-000074;2018-11-24;19:36:19;CLI-02408;F;25-34;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;M;Grafite;1;149.90;0.15;22.48;149.90;127.42;63.40;63.40;64.02;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-04;dinheiro
CL-000075;2018-11-26;17:13:26;CLI-00226;M;25-34;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;G;Branco;1;89.90;0.00;0.00;89.90;89.90;35.50;35.50;54.40;concluida;black_friday;loja_fisica;LJ-CL;xFit Wear Conselheiro Lafaiete;Conselheiro Lafaiete;MG;VND-LJ-CL-06;pix
