id_venda;data_venda;hora_venda;cliente_id;genero_cliente;faixa_etaria;produto_id;produto;genero_produto;categoria;tamanho;cor;quantidade;preco_unitario;desconto_pct;valor_desconto;valor_bruto;valor_liquido;custo_unitario;custo_total;margem_bruta;status_pedido;campanha;canal;loja_id;loja_nome;cidade;uf;vendedor_id;forma_pagamento
BQ-000011;2018-11-05;16:22:01;CLI-01148;F;35-44;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;G;Azul Marinho;1;79.90;0.00;0.00;79.90;79.90;31.70;31.70;48.20;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;debito
BQ-000012;2018-11-05;08:02:31;CLI-02379;M;55+;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;P;Rosa;2;29.90;0.00;0.00;59.80;59.80;9.80;19.60;40.20;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;credito
BQ-000013;2018-11-06;15:08:14;CLI-01773;F;35-44;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;PP;Vinho;1;29.90;0.15;4.48;29.90;25.41;9.80;9.80;15.61;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;pix
BQ-000014;2018-11-06;18:18:57;CLI-00639;M;25-34;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;P;Grafite;1;109.90;0.00;0.00;109.90;109.90;45.10;45.10;64.80;devolvida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;dinheiro
BQ-000015;2018-11-06;21:16:03;CLI-02623;M;45-54;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;P;Verde Oliva;1;79.90;0.00;0.00;79.90;79.90;31.70;31.70;48.20;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;dinheiro
BQ-000016;2018-11-06;18:14:14;CLI-01880;F;18-24;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;GG;Azul Marinho;1;29.90;0.25;7.47;29.90;22.42;9.80;9.80;12.62;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;debito
BQ-000017;2018-11-07;19:21:55;CLI-00291;M;18-24;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;PP;Verde Oliva;1;29.90;0.25;7.47;29.90;22.42;9.80;9.80;12.62;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;debito
BQ-000018;2018-11-07;11:59:58;CLI-02010;F;25-34;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;PP;Preto;1;29.90;0.30;8.97;29.90;20.93;9.80;9.80;11.13;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;debito
BQ-000019;2018-11-07;14:55:28;CLI-01235;F;25-34;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;GG;Preto;1;109.90;0.00;0.00;109.90;109.90;45.10;45.10;64.80;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;credito
BQ-000020;2018-11-07;17:01:41;CLI-01776;F;25-34;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;M;Azul Marinho;1;139.90;0.10;13.99;139.90;125.91;57.80;57.80;68.11;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;credito
BQ-000021;2018-11-08;15:06:17;CLI-00987;F;18-24;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;PP;Vinho;1;64.90;0.10;6.49;64.90;58.41;24.90;24.90;33.51;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;pix
BQ-000022;2018-11-08;09:53:21;CLI-02354;M;35-44;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;M;Verde Oliva;1;149.90;0.20;29.98;149.90;119.92;63.40;63.40;56.52;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;credito
BQ-000023;2018-11-08;15:53:02;CLI-01083;F;25-34;XFIT-REG-005;Regata Essential;Unissex;Regatas;GG;Branco;1;69.90;0.00;0.00;69.90;69.90;27.60;27.60;42.30;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;credito
BQ-000024;2018-11-09;12:29:49;CLI-00066;M;18-24;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;G;Azul Marinho;2;139.90;0.00;0.00;279.80;279.80;57.80;115.60;164.20;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;debito
BQ-000025;2018-11-09;17:34:25;CLI-00990;F;45-54;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;M;Branco;1;109.90;0.00;0.00;109.90;109.90;45.10;45.10;64.80;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;debito
BQ-000026;2018-11-09;08:43:32;CLI-01166;M;18-24;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;M;Branco;1;149.90;0.15;22.48;149.90;127.42;63.40;63.40;64.02;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;pix
BQ-000027;2018-11-09;13:19:38;CLI-00806;F;25-34;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;PP;Preto;1;139.90;0.00;0.00;139.90;139.90;57.80;57.80;82.10;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;credito
BQ-000028;2018-11-10;12:15:47;CLI-00286;F;18-24;XFIT-REG-005;Regata Essential;Unissex;Regatas;G;Preto;2;69.90;0.15;20.97;139.80;118.83;27.60;55.20;63.63;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;pix
BQ-000029;2018-11-10;15:10:45;CLI-00168;F;35-44;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;M;Grafite;1;79.90;0.15;11.99;79.90;67.92;31.70;31.70;36.22;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;credito
BQ-000030;2018-11-10;17:45:44;CLI-00903;M;18-24;XFIT-REG-005;Regata Essential;Unissex;Regatas;GG;Vinho;1;69.90;0.15;10.49;69.90;59.42;27.60;27.60;31.82;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;credito
BQ-000031;2018-11-10;17:43:21;CLI-00714;F;35-44;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;M;Rosa;1;139.90;0.20;27.98;139.90;111.92;57.80;57.80;54.12;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;debito
BQ-000032;2018-11-12;11:52:03;CLI-02248;F;35-44;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;G;Preto;1;149.90;0.15;22.48;149.90;127.42;63.40;63.40;64.02;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;debito
BQ-000033;2018-11-12;14:53:35;CLI-01990;Nao informado;18-24;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;GG;Vinho;1;79.90;0.25;19.98;79.90;59.93;31.70;31.70;28.23;devolvida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;credito
BQ-000034;2018-11-12;14:19:18;CLI-02738;F;45-54;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;M;Rosa;1;149.90;0.10;14.99;149.90;134.91;63.40;63.40;71.51;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;credito
BQ-000035;2018-11-12;10:34:49;CLI-02710;M;45-54;XFIT-REG-005;Regata Essential;Unissex;Regatas;P;Verde Oliva;2;69.90;0.25;34.95;139.80;104.85;27.60;55.20;49.65;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;pix
BQ-000036;2018-11-13;22:18:14;CLI-00749;F;35-44;XFIT-JAQ-006;Jaqueta WindFit;Unissex;Jaquetas;P;Grafite;1;219.90;0.15;32.98;219.90;186.92;98.40;98.40;88.52;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;debito
BQ-000037;2018-11-13;14:48:29;CLI-01112;F;25-34;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;GG;Preto;1;149.90;0.20;29.98;149.90;119.92;63.40;63.40;56.52;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;credito
BQ-000038;2018-11-14;17:07:49;CLI-02477;M;25-34;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;P;Vinho;1;109.90;0.05;5.50;109.90;104.41;45.10;45.10;59.30;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;credito
BQ-000039;2018-11-14;15:42:09;CLI-00895;F;25-34;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;P;Verde Oliva;1;29.90;0.20;5.98;29.90;23.92;9.80;9.80;14.12;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;pix
BQ-000040;2018-11-14;12:14:39;CLI-02564;F;18-24;XFIT-REG-005;Regata Essential;Unissex;Regatas;P;Branco;1;69.90;0.00;0.00;69.90;69.90;27.60;27.60;42.30;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;credito
BQ-000041;2018-11-14;17:56:59;CLI-01850;F;35-44;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;P;Rosa;2;99.90;0.05;9.99;199.80;189.81;39.20;78.40;111.41;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;dinheiro
BQ-000042;2018-11-16;09:23:51;CLI-01823;M;25-34;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;M;Preto;1;64.90;0.05;3.25;64.90;61.66;24.90;24.90;36.76;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;pix
BQ-000043;2018-11-17;14:38:18;CLI-01020;F;35-44;XFIT-MAC-009;Macacao Studio;Feminino;Macacoes;P;Branco;1;189.90;0.15;28.48;189.90;161.42;82.30;82.30;79.12;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;pix
BQ-000044;2018-11-19;17:20:11;CLI-00796;M;35-44;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;GG;Rosa;1;79.90;0.10;7.99;79.90;71.91;31.70;31.70;40.21;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;dinheiro
BQ-000045;2018-11-19;18:22:23;CLI-01115;F;45-54;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;G;Azul Marinho;1;89.90;0.15;13.49;89.90;76.42;35.50;35.50;40.92;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;dinheiro
BQ-000046;2018-11-19;17:35:33;CLI-01661;M;18-24;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;GG;Rosa;1;64.90;0.25;16.23;64.90;48.68;24.90;24.90;23.78;devolvida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;dinheiro
BQ-000047;2018-11-20;18:03:19;CLI-01867;F;25-34;XFIT-REG-005;Regata Essential;Unissex;Regatas;GG;Vinho;2;69.90;0.05;6.99;139.80;132.81;27.60;55.20;77.61;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;debito
BQ-000048;2018-11-20;21:07:52;CLI-01435;F;45-54;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;PP;Branco;1;64.90;0.05;3.25;64.90;61.66;24.90;24.90;36.76;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;debito
BQ-000049;2018-11-20;12:27:27;CLI-01711;F;35-44;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;M;Azul Marinho;2;79.90;0.15;23.97;159.80;135.83;31.70;63.40;72.43;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;dinheiro
BQ-000050;2018-11-20;19:59:32;CLI-02431;M;25-34;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;P;Verde Oliva;2;89.90;0.00;0.00;179.80;179.80;35.50;71.00;108.80;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;dinheiro
BQ-000051;2018-11-21;20:22:47;CLI-02611;F;25-34;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;G;Rosa;1;149.90;0.00;0.00;149.90;149.90;63.40;63.40;86.50;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;credito
BQ-000052;2018-11-21;17:19:12;CLI-00552;F;25-34;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;P;Rosa;3;149.90;0.05;22.49;449.70;427.22;63.40;190.20;237.02;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;credito
BQ-000053;2018-11-22;17:45:49;CLI-01563;M;18-24;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;GG;Branco;1;79.90;0.00;0.00;79.90;79.90;31.70;31.70;48.20;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;credito
BQ-000054;2018-11-22;21:34:56;CLI-02626;F;25-34;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;GG;Preto;1;149.90;0.00;0.00;149.90;149.90;63.40;63.40;86.50;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;credito
BQ-000055;2018-11-22;14:27:11;CLI-02551;F;35-44;XFIT-JAQ-006;Jaqueta WindFit;Unissex;Jaquetas;GG;Grafite;1;219.90;0.30;65.97;219.90;153.93;98.40;98.40;55.53;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;pix
BQ-000056;2018-11-23;15:00:18;CLI-02349;M;45-54;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;P;Grafite;1;79.90;0.00;0.00;79.90;79.90;31.70;31.70;48.20;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;dinheiro
BQ-000057;2018-11-23;19:07:16;CLI-02422;F;18-24;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;G;Preto;1;79.90;0.30;23.97;79.90;55.93;31.70;31.70;24.23;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;dinheiro
BQ-000058;2018-11-24;13:53:02;CLI-02046;F;55+;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;GG;Azul Marinho;1;79.90;0.30;23.97;79.90;55.93;31.70;31.70;24.23;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;dinheiro
BQ-000059;2018-11-24;20:20:44;CLI-01394;Nao informado;25-34;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;PP;Rosa;1;139.90;0.10;13.99;139.90;125.91;57.80;57.80;68.11;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;dinheiro
BQ-000060;2018-11-26;21:56:08;CLI-01787;F;25-34;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;G;Vinho;1;139.90;0.00;0.00;139.90;139.90;57.80;57.80;82.10;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;credito
BQ-000061;2018-11-26;14:22:06;CLI-00364;Nao informado;35-44;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;P;Rosa;1;79.90;0.30;23.97;79.90;55.93;31.70;31.70;24.23;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;pix
BQ-000062;2018-11-27;19:24:15;CLI-00511;Nao informado;25-34;XFIT-MAC-009;Macacao Studio;Feminino;Macacoes;M;Rosa;1;189.90;0.25;47.48;189.90;142.43;82.30;82.30;60.13;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;dinheiro
BQ-000063;2018-11-27;21:41:09;CLI-02447;F;18-24;XFIT-REG-005;Regata Essential;Unissex;Regatas;P;Vinho;2;69.90;0.00;0.00;139.80;139.80;27.60;55.20;84.60;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;debito
BQ-000064;2018-11-27;14:15:14;CLI-00327;F;18-24;XFIT-MAC-009;Macacao Studio;Feminino;Macacoes;PP;Verde Oliva;1;189.90;0.05;9.50;189.90;180.41;82.30;82.30;98.11;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;dinheiro
BQ-000065;2018-11-28;18:46:29;CLI-02346;F;35-44;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;GG;Azul Marinho;1;139.90;0.00;0.00;139.90;139.90;57.80;57.80;82.10;devolvida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;dinheiro
BQ-000066;2018-11-28;18:26:31;CLI-02238;F;18-24;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;M;Rosa;1;99.90;0.30;29.97;99.90;69.93;39.20;39.20;30.73;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;pix
BQ-000067;2018-11-29;17:49:49;CLI-02685;F;35-44;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;GG;Vinho;1;89.90;0.00;0.00;89.90;89.90;35.50;35.50;54.40;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-06;debito
BQ-000068;2018-11-29;11:29:02;CLI-00658;F;35-44;XFIT-BER-008;Bermuda Sprint;Masculino;Bermudas;M;Vinho;1;109.90;0.15;16.48;109.90;93.42;45.10;45.10;48.32;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;dinheiro
BQ-000069;2018-11-29;16:01:17;CLI-00171;F;35-44;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;GG;Azul Marinho;1;29.90;0.10;2.99;29.90;26.91;9.80;9.80;17.11;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;debito
BQ-000070;2018-11-30;20:49:48;CLI-01148;F;35-44;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;PP;Vinho;1;29.90;0.00;0.00;29.90;29.90;9.80;9.80;20.10;concluida;black_friday;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;credito
BQ-000071;2018-11-30;11:47:20;CLI-01484;M;18-24;XFIT-BOL-012;Bolsa Gym Pro;Unissex;Acessorios;P;Grafite;1;149.90;0.00;0.00;149.90;149.90;63.40;63.40;86.50;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;credito
BQ-000072;2018-11-30;15:22:21;CLI-01821;F;18-24;XFIT-LEG-001;Legging PowerFlex;Feminino;Leggings;GG;Branco;1;139.90;0.15;20.98;139.90;118.92;57.80;57.80;61.12;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;pix
BQ-000073;2018-11-30;10:32:48;CLI-00320;F;25-34;XFIT-CAM-004;Camiseta Training;Unissex;Camisetas;PP;Grafite;1;79.90;0.00;0.00;79.90;79.90;31.70;31.70;48.20;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;debito
BQ-000074;2018-12-01;17:35:43;CLI-02579;F;35-44;XFIT-GAR-011;Garrafa Termica 750ml;Unissex;Acessorios;G;Azul Marinho;1;64.90;0.15;9.74;64.90;55.17;24.90;24.90;30.27;concluida;dia_das_maes;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-04;credito
BQ-000075;2018-12-01;19:06:46;CLI-01163;F;25-34;XFIT-REG-005;Regata Essential;Unissex;Regatas;G;Branco;1;69.90;0.00;0.00;69.90;69.90;27.60;27.60;42.30;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-05;dinheiro
BQ-000076;2018-12-01;08:29:23;CLI-02012;F;25-34;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;P;Rosa;1;89.90;0.00;0.00;89.90;89.90;35.50;35.50;54.40;concluida;volta_treino;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;dinheiro
BQ-000077;2018-12-03;18:58:52;CLI-01201;F;18-24;XFIT-MEI-010;Meia Performance;Unissex;Acessorios;GG;Branco;1;29.90;0.15;4.48;29.90;25.41;9.80;9.80;15.61;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-02;dinheiro
BQ-000078;2018-12-03;13:58:24;CLI-02500;F;35-44;XFIT-TOP-002;Top Alta Sustentacao;Feminino;Tops;GG;Azul Marinho;1;99.90;0.10;9.99;99.90;89.91;39.20;39.20;50.71;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;credito
BQ-000079;2018-12-03;14:52:02;CLI-02135;M;35-44;XFIT-SHO-003;Shorts DryRun;Feminino;Shorts;G;Azul Marinho;1;89.90;0.00;0.00;89.90;89.90;35.50;35.50;54.40;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-01;credito
BQ-000080;2018-12-04;20:28:14;CLI-02010;M;25-34;XFIT-CAL-007;Calca Jogger Move;Masculino;Calcas;GG;Vinho;2;159.90;0.00;0.00;319.80;319.80;70.20;140.40;179.40;concluida;sem_campanha;loja_fisica;LJ-BQ;xFit Wear Barbacena;Barbacena;MG;VND-LJ-BQ-03;debito
